Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Azorius Charm,GK2,RNA Guild Kit,8,normal,uncommon,1,44013,a0653bda-a9de-4d4d-ab95-21458b31c652,0.35,false,false,near_mint,en,USD
Azorius Keyrune,GK2,RNA Guild Kit,23,normal,uncommon,1,43998,d3e9e7be-598a-4353-8a7e-350837a7c0a0,0.27,false,false,near_mint,en,USD
Dovin's Acuity,RNA,Ravnica Allegiance,168,normal,uncommon,2,43697,0b191592-7221-422a-8b5a-65f7b1caec1a,0.09,false,false,near_mint,en,USD
Detention Sphere,GK2,RNA Guild Kit,10,normal,rare,1,44011,74de5ed5-eab0-44ff-aa9a-077d487f1b5e,0.46,false,false,near_mint,en,USD
Render Silent,GK2,RNA Guild Kit,18,normal,rare,1,44003,d286f664-86e9-4d5a-8cd0-e162cb7d9791,2.12,false,false,near_mint,en,USD
Sphinx's Insight,RNA,Ravnica Allegiance,209,normal,common,6,43656,d71c2435-0312-4279-a9e1-fab7432756b7,0.04,false,false,near_mint,en,USD
Sphinx's Revelation,GK2,RNA Guild Kit,21,normal,mythic,1,44000,c2bbfb5c-f922-4af3-8326-de09bb1599ed,1.26,false,false,near_mint,en,USD
Dovescape,GK2,RNA Guild Kit,11,normal,rare,1,44010,e2bd6ecd-a786-4c83-99c5-50515a691417,1.65,false,false,near_mint,en,USD
God-Pharaoh's Statue,WAR,War of the Spark,238,normal,uncommon,1,44166,7dce06ba-c1e1-45ec-82a7-fc10b0fa8870,0.65,false,false,near_mint,en,USD
Pride of the Clouds,GK2,RNA Guild Kit,17,normal,rare,1,44004,48e6b67f-ebf5-4413-9417-ed45a576a390,1.37,false,false,near_mint,en,USD
Azorius Guildmage,GK2,RNA Guild Kit,9,normal,uncommon,1,44012,3dc24fbf-6a61-404d-8944-9659f3f5f0a4,0.43,false,false,near_mint,en,USD
Senate Guildmage,RNA,Ravnica Allegiance,204,normal,uncommon,3,43661,913b3a2a-e3fd-4095-ab2a-5e356ea179df,0.08,false,false,near_mint,en,USD
"Dovin, Hand of Control",WAR,War of the Spark,229,normal,uncommon,3,44175,bd6ff745-919b-4688-9e9e-ab7835b3b891,0.16,false,false,near_mint,en,USD
Lyev Skyknight,GK2,RNA Guild Kit,16,normal,uncommon,1,44005,a2d9670e-e994-40ca-b59d-567d5d0d9de3,0.15,false,false,near_mint,en,USD
Deputy of Detention,RNA,Ravnica Allegiance,165,normal,rare,1,43700,7e362055-78a1-48fa-a4ef-6cf7e0b21b14,0.21,false,false,near_mint,en,USD
Senate Griffin,RNA,Ravnica Allegiance,219,normal,common,4,43646,465adbb4-4c64-44eb-8323-61d23282c6b8,0.04,false,false,near_mint,en,USD
Skymark Roc,GK2,RNA Guild Kit,20,normal,uncommon,1,44001,6359a633-dd81-47ad-a4fb-bf5c5fda06a9,0.2,false,false,near_mint,en,USD
Sphinx of New Prahv,RNA,Ravnica Allegiance,208,normal,uncommon,1,43657,d9aec56e-50a3-491f-89c6-32907ea3161a,0.06,false,false,near_mint,en,USD
Lavinia of the Tenth,GK2,RNA Guild Kit,15,normal,rare,1,44006,c31e25f7-cc27-4f72-a314-1cf7971a2fbc,0.36,false,false,near_mint,en,USD
Isperia the Inscrutable,GK2,RNA Guild Kit,13,normal,rare,1,44008,0ca226e3-e392-4c7c-88f0-14e6e3bd17ad,0.26,false,false,near_mint,en,USD
Azorius Knight-Arbiter,RNA,Ravnica Allegiance,154,normal,common,2,43711,60befc28-2ab8-4b59-a33f-0328c5d2f995,0.08,false,false,near_mint,en,USD
Windreaver,GK2,RNA Guild Kit,22,normal,rare,1,43999,09be20e5-58f1-40ea-a89d-437f46588a6d,0.17,false,false,near_mint,en,USD
Sky Hussar,GK2,RNA Guild Kit,19,normal,uncommon,1,44002,0c1d833f-2158-4f54-b161-b55c313d613a,0.14,false,false,near_mint,en,USD
"Isperia, Supreme Judge",GK2,RNA Guild Kit,1,foil,mythic,1,43564,ff875d47-b46e-481e-8fba-cc90870483e0,0.56,false,false,near_mint,en,USD
Azorius Skyguard,RNA,Ravnica Allegiance,155,normal,uncommon,2,43710,c2fddecd-e660-43de-bccc-52f60a089052,0.08,false,false,near_mint,en,USD
"Ugin, the Ineffable",WAR,War of the Spark,2,normal,rare,1,44402,7b003521-3da3-41bf-9765-36630653f902,0.87,false,false,near_mint,en,USD
Archon of the Triumvirate,GK2,RNA Guild Kit,7,normal,rare,1,44014,2e56c62d-34b4-4394-81bc-e86fe76f9c73,0.14,false,false,near_mint,en,USD
Gate Colossus,RNA,Ravnica Allegiance,232,normal,uncommon,2,43633,99767e2f-a558-4d63-b9b6-923d15b433e1,0.06,false,false,near_mint,en,USD
Sphinx,TRNA,Ravnica Allegiance Tokens,9,normal,common,1,43583,f82ba894-7b10-45ae-9322-60ef85a2869d,0.06,false,false,near_mint,en,USD
Thopter,TM19,Core Set 2019 Tokens,14,normal,common,1,901,d0044cd9-2136-423e-aa2a-829e8f007535,0.13,false,false,near_mint,en,USD
Thopter,TRNA,Ravnica Allegiance Tokens,11,normal,common,5,43581,8dd768c3-f278-41f8-b329-8403391d6326,0.14,false,false,near_mint,en,USD
Island,M19,Core Set 2019,267,normal,common,5,1045,42044efb-b6a8-46c3-90dc-b7a745e819e5,0.06,false,false,near_mint,en,USD
Island,M19,Core Set 2019,266,normal,common,5,1046,54c33392-c382-4e8b-812e-8b2c64cdbe8e,0.13,false,false,near_mint,en,USD
Bird,TGK2,RNA Guild Kit Tokens,1,normal,common,5,43901,a813c741-d0d4-48cd-9bbf-8a04a544ce8e,1.06,false,false,near_mint,en,USD
Plains,M19,Core Set 2019,262,normal,common,5,1050,b2715553-ba9c-4753-9a1f-d13d8e2ed24f,0.06,false,false,near_mint,en,USD
Plains,M19,Core Set 2019,261,normal,common,5,1051,0b1b55c1-d74b-4688-a3b8-8480d99524c7,0.07,false,false,near_mint,en,USD
Plains,GK2,RNA Guild Kit,26,normal,common,8,43563,19ce3b11-18de-4250-a405-8e731882dfd4,0.44,false,false,near_mint,en,USD
Island,GK2,RNA Guild Kit,27,normal,common,8,43562,ac28037a-461b-4fb3-9feb-d3eb739da995,0.51,false,false,near_mint,en,USD
Island,DOM,Dominaria,254,normal,common,1,2022,0ce67a27-aa80-46ac-955a-8fea336995d9,0.09,false,false,near_mint,en,USD
Mountain,M19,Core Set 2019,275,normal,common,5,1037,fedbe1f9-b29f-4bdd-9718-615b7c2413b4,0.09,false,false,near_mint,en,USD
Swamp,M19,Core Set 2019,271,normal,common,5,1041,8808d9dd-70c0-46ff-bd9c-dd60240dd121,0.1,false,false,near_mint,en,USD
Swamp,M19,Core Set 2019,272,normal,common,5,1040,fd7f974d-2634-4fc7-aa4e-bfeb6f3169ea,0.14,false,false,near_mint,en,USD
Mountain,M19,Core Set 2019,273,normal,common,5,1039,71f2030b-f622-4cc3-ac83-258ae3645fd6,0.08,false,false,near_mint,en,USD
Mountain,M19,Core Set 2019,274,normal,common,5,1038,6457f78b-aca6-4ebf-9e89-bf9321ceb35d,0.07,false,false,near_mint,en,USD
Forest,M19,Core Set 2019,278,normal,common,5,1034,c1e46627-3cf3-4aca-97ba-80f9e919608c,0.09,false,false,near_mint,en,USD
Swamp,M19,Core Set 2019,269,normal,common,5,1043,2bfe9801-b683-45d9-924c-6734110816bf,0.08,false,false,near_mint,en,USD
Forest,M19,Core Set 2019,279,normal,common,5,1033,32df22d3-9b65-4b43-80d9-e4c43575ec74,0.07,false,false,near_mint,en,USD
Swamp,M19,Core Set 2019,270,normal,common,5,1042,430341f3-7dd5-4161-96a2-e76350699b66,0.07,false,false,near_mint,en,USD
Mountain,M19,Core Set 2019,276,normal,common,5,1036,bb4004c8-c3d9-494e-a257-6d8443cbf1b7,0.08,false,false,near_mint,en,USD
Forest,M19,Core Set 2019,280,normal,common,5,1032,ea3cc8ba-ab54-46d3-9c3a-91678fd8d381,0.09,false,false,near_mint,en,USD
Forest,M19,Core Set 2019,277,normal,common,5,1035,b52ff177-bafe-4e0a-a6c3-2cf012b1319f,0.1,false,false,near_mint,en,USD
House Guildmage,GRN,Guilds of Ravnica,177,normal,uncommon,1,306,45ee7bc8-d5cf-47b1-93c2-7e1d5f536c85,0.15,false,false,near_mint,en,USD
"Etrata, the Silencer",GRN,Guilds of Ravnica,170,normal,rare,1,313,fa36b142-e67e-49da-9080-c5994e275266,0.76,false,false,near_mint,en,USD
Rhizome Lurcher,GRN,Guilds of Ravnica,196,normal,common,1,287,db9ce92b-79cc-4e26-b511-30ae8ea6a2a1,0.06,false,false,near_mint,en,USD
Glowspore Shaman,GRN,Guilds of Ravnica,173,normal,uncommon,1,310,08fe260a-d204-4e75-b3e5-0cd9b4ca7084,0.05,false,false,near_mint,en,USD
Golgari Findbroker,GRN,Guilds of Ravnica,175,normal,uncommon,1,308,e12bd0e5-db96-4340-9b04-6855fd0fd8b9,0.15,false,false,near_mint,en,USD
Golgari Locket,GRN,Guilds of Ravnica,237,normal,common,1,246,1c2e7843-9a87-46cb-be06-6db58649db85,0.12,false,false,near_mint,en,USD
"Slimefoot, the Stowaway",DOM,Dominaria,205,normal,uncommon,1,2071,e8815cd9-7032-445a-aebc-cfc19bd51ee4,0.13,false,false,near_mint,en,USD
Undercity Uprising,GRN,Guilds of Ravnica,210,normal,common,1,273,7e1e08bf-a5d6-48bb-9f7f-4711f9ec88d7,0.06,false,false,near_mint,en,USD
Rosemane Centaur,GRN,Guilds of Ravnica,197,normal,common,1,286,cee30585-f7b1-4ca4-8171-dc5a837f2b93,0.03,false,false,near_mint,en,USD
Selesnya Locket,GRN,Guilds of Ravnica,240,normal,common,1,243,ea0c04b9-c7fc-4204-9af2-5d1987bdd97e,0.07,false,false,near_mint,en,USD
Worldsoul Colossus,GRN,Guilds of Ravnica,215,normal,uncommon,1,268,b5186304-b0fb-44a6-ba61-0265b7f42da4,0.07,false,false,near_mint,en,USD
Conclave Cavalier,GRN,Guilds of Ravnica,161,normal,uncommon,1,322,b658a309-d14c-4e20-8c76-e7b3c5156bf2,0.06,false,false,near_mint,en,USD
Join Shields,GRN,Guilds of Ravnica,181,normal,uncommon,1,302,91898d8a-589d-43db-8dc4-0ec6a3bd6d49,0.1,false,false,near_mint,en,USD
Growth Spiral,RNA,Ravnica Allegiance,178,normal,common,1,43687,7c77a6b1-ef06-4da5-8e86-a5204216cb77,0.21,false,false,near_mint,en,USD
Simic Locket,RNA,Ravnica Allegiance,240,normal,common,1,43625,29c65978-e5b0-428e-aace-f99768ca6106,0.07,false,false,near_mint,en,USD
"Kiora, Behemoth Beckoner",WAR,War of the Spark,232,normal,uncommon,1,44172,7a61b1a6-a75f-47b0-b215-de9708b6d773,0.87,false,false,near_mint,en,USD
Sharktocrab,RNA,Ravnica Allegiance,206,normal,uncommon,1,43659,e0f31228-0c47-4c51-932d-50fdec965f15,0.09,false,false,near_mint,en,USD
Biomancer's Familiar,RNA,Ravnica Allegiance,158,normal,rare,1,43707,d38c9891-36d1-4565-9c4a-1cd9dbf8c048,0.65,false,false,near_mint,en,USD
Zhur-Taa Goblin,RNA,Ravnica Allegiance,215,normal,uncommon,1,43650,13070db2-cf89-4552-8b6c-76426274321a,0.09,false,false,near_mint,en,USD
Sunder Shaman,RNA,Ravnica Allegiance,210,normal,uncommon,1,43655,9bb6a8bb-9eec-4f9b-a5a8-604631e4b823,0.06,false,false,near_mint,en,USD
Gruul Locket,RNA,Ravnica Allegiance,234,normal,common,1,43631,1ec78880-a8ec-4c87-bc3f-e2a79d154884,0.07,false,false,near_mint,en,USD
Savage Smash,RNA,Ravnica Allegiance,203,normal,common,1,43662,4ca942d7-a3a3-429f-a159-fc2363d9bca6,0.02,false,false,near_mint,en,USD
Clan Guildmage,RNA,Ravnica Allegiance,162,normal,uncommon,1,43703,34a18415-015c-4d3f-8042-b156a673e125,0.04,false,false,near_mint,en,USD
Truefire Captain,GRN,Guilds of Ravnica,209,normal,uncommon,1,274,6099a230-9298-4649-b257-243af40d0625,0.08,false,false,near_mint,en,USD
Boros Challenger,GRN,Guilds of Ravnica,156,normal,uncommon,1,327,545f3a30-7984-4046-8a14-51bc9cbc3fe0,0.06,false,false,near_mint,en,USD
Boros Locket,GRN,Guilds of Ravnica,231,normal,common,1,252,5e972d97-0df2-44e4-8ff2-cc8707316dc1,0.09,false,false,near_mint,en,USD
Skyknight Legionnaire,GRN,Guilds of Ravnica,198,normal,common,1,285,3c27f2ce-702a-4ec2-a470-982171a9ec73,0.03,false,false,near_mint,en,USD
Footlight Fiend,RNA,Ravnica Allegiance,216,normal,common,1,43649,8c604697-5c81-4329-9b16-f19bd90ba08c,0.04,false,false,near_mint,en,USD
Rakdos Firewheeler,RNA,Ravnica Allegiance,197,normal,uncommon,1,43668,d819a944-0b3e-4e26-87da-2417081928e7,0.06,false,false,near_mint,en,USD
Hackrobat,RNA,Ravnica Allegiance,181,normal,uncommon,1,43684,a41335c2-3d11-4f95-8d9f-66b04398c10b,0.04,false,false,near_mint,en,USD
Dimir Guildgate,GRN,Guilds of Ravnica,246,normal,common,1,237,3694ac90-e71e-4736-8945-7dbf5b5fd6a9,0.1,false,false,near_mint,en,USD
Dimir Guildgate,GRN,Guilds of Ravnica,245,normal,common,2,238,b7129bdf-de02-4ed2-b5de-f774b8a7d302,0.08,false,false,near_mint,en,USD
Orzhov Guildgate,RNA,Ravnica Allegiance,253,normal,common,1,43612,f7046b5e-622f-4ae8-9ddd-709ccd61000e,0.1,false,false,near_mint,en,USD
Orzhov Guildgate,RNA,Ravnica Allegiance,253,normal,common,1,43612,f7046b5e-622f-4ae8-9ddd-709ccd61000e,0.1,false,false,near_mint,en,USD
Selesnya Guildgate,GRN,Guilds of Ravnica,256,normal,common,1,227,ee1db693-5dd9-48de-8520-014d9ad5b596,0.07,false,false,near_mint,en,USD
Selesnya Guildgate,GRN,Guilds of Ravnica,255,normal,common,1,228,6d5ee7a5-937a-4c2b-af8c-6e5734677c53,0.06,false,false,near_mint,en,USD
Golgari Guildgate,GRN,Guilds of Ravnica,249,normal,common,1,234,f0a021e9-b11a-4028-86c9-01b62eae1877,0.08,false,false,near_mint,en,USD
Golgari Guildgate,GRN,Guilds of Ravnica,248,normal,common,1,235,86706d8e-de08-4778-94ba-ae75ed522472,0.07,false,false,near_mint,en,USD
Foul Orchard,M19,Core Set 2019,251,normal,common,1,1061,6b28e1e1-0813-4e4a-a7a7-058b7787272c,0.08,false,false,near_mint,en,USD
Simic Guildgate,RNA,Ravnica Allegiance,257,normal,common,1,43608,6e73e082-b16a-45d5-bc4a-24c694b0b9af,0.07,false,false,near_mint,en,USD
Izzet Guildgate,GRN,Guilds of Ravnica,252,normal,common,1,231,fc36bb2a-115d-4e24-a1e9-02b21773e945,0.06,false,false,near_mint,en,USD
Izzet Guildgate,GRN,Guilds of Ravnica,251,normal,common,1,232,2055a83a-99c8-4808-90b9-1c2fdcda79b4,0.1,false,false,near_mint,en,USD
Gruul Guildgate,RNA,Ravnica Allegiance,249,normal,common,1,43616,33d10573-1695-4a73-b92d-d478572b85ec,0.1,false,false,near_mint,en,USD
Gruul Guildgate,RNA,Ravnica Allegiance,250,normal,common,1,43615,8fffd445-de4f-45de-95b9-6e0855926a6a,0.08,false,false,near_mint,en,USD
Boros Guildgate,GRN,Guilds of Ravnica,244,normal,common,1,239,95f52d32-c04b-4711-9edc-8fd1d3547a44,0.06,false,false,near_mint,en,USD
Boros Guildgate,GRN,Guilds of Ravnica,243,normal,common,1,240,c52ceefc-90d0-49d1-ae54-9a4eab819849,0.07,false,false,near_mint,en,USD
Rakdos Guildgate,RNA,Ravnica Allegiance,255,normal,common,1,43610,26f7e55d-d4c9-4755-ab87-a592ba3fb64f,0.08,false,false,near_mint,en,USD
Blood Crypt,RNA,Ravnica Allegiance,245,normal,rare,1,43620,5faba6c8-3463-47c1-ba01-09eb87fcb2d5,13.68,false,false,near_mint,en,USD
Rakdos Guildgate,RNA,Ravnica Allegiance,256,normal,common,2,43609,d88b90fa-a7f1-4739-a507-d22dede9384f,0.08,false,false,near_mint,en,USD
Simic Guildgate,RNA,Ravnica Allegiance,258,normal,common,2,43607,62537433-3c49-417d-89ef-c12d5288bb6f,0.06,false,false,near_mint,en,USD
Frilled Mystic,RNA,Ravnica Allegiance,174,normal,uncommon,2,43691,50595d02-edad-48a6-b10c-6fa859cc88bb,0.06,false,false,near_mint,en,USD
Tower Defense,RNA,Ravnica Allegiance,147,normal,uncommon,1,43718,195e94a4-a698-4c66-9428-5cc8a40d42c6,0.1,false,false,near_mint,en,USD
Saruli Caretaker,RNA,Ravnica Allegiance,139,normal,common,1,43726,ef3358cb-714c-49bf-b7e9-a69d02d7799e,0.1,false,false,near_mint,en,USD
Stony Strength,RNA,Ravnica Allegiance,143,normal,common,1,43722,8bbab274-69dd-44a9-9310-a15779c35cad,0.04,false,false,near_mint,en,USD
The Mending of Dominaria,DOM,Dominaria,173,normal,rare,1,2103,0d5e4d9a-34e1-46eb-814b-8e3bd4475b8a,0.26,false,false,near_mint,en,USD
Mammoth Spider,RNA,Ravnica Allegiance,132,normal,common,1,43733,9a684871-ff6e-4474-82da-30757c324c73,0.04,false,false,near_mint,en,USD
Centaur Courser,M19,Core Set 2019,171,normal,common,1,1141,bae6eb55-4bf9-4418-b667-a9a761f91ef9,0.02,false,false,near_mint,en,USD
Plummet,M19,Core Set 2019,193,normal,common,1,1119,78a29ddb-fc76-407a-aa58-ec92d011bd44,0.15,false,false,near_mint,en,USD
District Guide,GRN,Guilds of Ravnica,128,normal,uncommon,2,355,c150deec-3287-40ef-9b9c-c22bf5d70b02,0.15,false,false,near_mint,en,USD
Urban Utopia,GRN,Guilds of Ravnica,146,normal,common,1,337,45d7ab0e-db37-4051-86dd-3ab09c047a2b,0.06,false,false,near_mint,en,USD
Wild Ceratok,GRN,Guilds of Ravnica,150,normal,common,1,333,4464e11a-c5b9-40ea-8be0-dab29d14e289,0.03,false,false,near_mint,en,USD
Mammoth Spider,RNA,Ravnica Allegiance,132,normal,common,3,43733,9a684871-ff6e-4474-82da-30757c324c73,0.04,false,false,near_mint,en,USD
Lava Coil,GRN,Guilds of Ravnica,108,normal,uncommon,1,375,f6135cf4-50c2-4e44-b9b0-96e1187a2200,0.17,false,false,near_mint,en,USD
Clamor Shaman,RNA,Ravnica Allegiance,96,normal,uncommon,1,43768,b3f073d7-f60a-44c1-aec9-cf42bbdb3153,0.1,false,false,near_mint,en,USD
Goblin Banneret,GRN,Guilds of Ravnica,102,normal,uncommon,1,381,90b3b56c-5236-4319-b17e-5f71143a7906,0.06,false,false,near_mint,en,USD
Skewer the Critics,RNA,Ravnica Allegiance,115,normal,common,1,43750,97295660-6bea-46ae-9a3b-0fc6abba407f,0.14,false,false,near_mint,en,USD
Maximize Velocity,GRN,Guilds of Ravnica,111,normal,common,1,372,ebb7a2aa-f002-4f05-b9ec-8adee4c65e46,0.03,false,false,near_mint,en,USD
Burn Bright,RNA,Ravnica Allegiance,93,normal,common,1,43771,b8574ffd-3e72-41de-90bf-69363189f047,0.02,false,false,near_mint,en,USD
Rubblebelt Recluse,RNA,Ravnica Allegiance,111,normal,common,1,43754,2faac11b-4ece-4537-aa55-c2d0afa41786,0.03,false,false,near_mint,en,USD
Shivan Dragon,M19,Core Set 2019,300,normal,rare,1,1012,d389b8db-5866-4146-a379-f24b6463622b,0.13,false,false,near_mint,en,USD
Rix Maadi Reveler,RNA,Ravnica Allegiance,109,normal,rare,1,43756,c40396da-18e2-42ca-a78c-4838a38f68b8,0.1,false,false,near_mint,en,USD
Cavalcade of Calamity,RNA,Ravnica Allegiance,95,normal,uncommon,1,43769,8a81e889-490b-4aeb-8e84-ea9a390bb8fe,0.15,false,false,near_mint,en,USD
Light Up the Stage,RNA,Ravnica Allegiance,107,normal,uncommon,1,43495,9287b848-2aeb-4c70-ac4a-acafb871b7a4,0.16,false,false,near_mint,en,USD
Ghor-Clan Wrecker,RNA,Ravnica Allegiance,103,normal,common,1,43761,4da3969c-1979-4eee-828a-4a7189121eba,0.02,false,false,near_mint,en,USD
Spear Spewer,RNA,Ravnica Allegiance,117,normal,common,1,43748,dbee1daa-b4ba-49ee-bed1-e70fa09942a2,0.12,false,false,near_mint,en,USD
Storm Strike,RNA,Ravnica Allegiance,119,normal,common,1,43746,8de24cba-545a-438b-9516-1c19a50ca78c,0.02,false,false,near_mint,en,USD
Feral Maaka,RNA,Ravnica Allegiance,100,normal,common,1,43764,3c969aa0-b0e5-42cd-abba-0a3c7266142c,0.03,false,false,near_mint,en,USD
Keldon Raider,DOM,Dominaria,135,normal,common,1,2141,f1245212-d081-4e95-a508-e1d3a7496473,0.02,false,false,near_mint,en,USD
Warlord's Fury,DOM,Dominaria,151,normal,common,1,2125,0ebd63cf-7e8c-4c8d-844d-98535d5f3039,0.16,false,false,near_mint,en,USD
"Lathliss, Dragon Queen",M19,Core Set 2019,149,normal,rare,1,1163,54a4c37d-5eeb-42c9-9688-c2ed0d5044cd,0.91,false,false,near_mint,en,USD
Shock,M19,Core Set 2019,156,normal,common,1,1156,bf5a0e1e-5239-41f3-a63f-d9303b1b01fc,0.06,false,false,near_mint,en,USD
Goblin Instigator,M19,Core Set 2019,142,normal,common,1,1170,90cef94d-d941-4e08-afec-a116626b74fb,0.18,false,false,near_mint,en,USD
Spikewheel Acrobat,RNA,Ravnica Allegiance,118,normal,common,1,43747,58f70b8a-62ec-4ae6-97d2-3c6ae86a3602,0.04,false,false,near_mint,en,USD
Price of Fame,GRN,Guilds of Ravnica,83,normal,uncommon,1,400,61b52152-0f7c-4466-9e49-033477028f67,0.12,false,false,near_mint,en,USD
Whispering Snitch,GRN,Guilds of Ravnica,90,normal,uncommon,1,393,fa4ca97e-b402-4a73-9c70-79ec4565a39c,0.09,false,false,near_mint,en,USD
Cry of the Carnarium,RNA,Ravnica Allegiance,70,normal,uncommon,1,43794,715a14a3-046e-45ca-b943-dd630e5202b7,0.06,false,false,near_mint,en,USD
Electrostatic Field,GRN,Guilds of Ravnica,97,normal,uncommon,2,386,7096c9a6-2e73-41f8-b20a-b29a9f0b760c,1.01,false,false,near_mint,en,USD
Fire Urchin,GRN,Guilds of Ravnica,101,normal,common,2,382,b3a843ff-6bd0-42d5-9348-44b774d438b1,0.02,false,false,near_mint,en,USD
Goblin Gathering,RNA,Ravnica Allegiance,104,normal,common,5,43760,147bef05-4497-44d5-9dd6-fb5dc08e78f7,0.06,false,false,near_mint,en,USD
Orzhov Enforcer,RNA,Ravnica Allegiance,79,normal,uncommon,1,43785,6a72b49e-be14-485b-a467-31cbac9aa1c5,0.06,false,false,near_mint,en,USD
Dead Revels,RNA,Ravnica Allegiance,71,normal,common,1,43793,f5b2c21a-419d-4896-82e3-1b5cb32b158e,0.05,false,false,near_mint,en,USD
Dead Weight,GRN,Guilds of Ravnica,67,normal,common,2,416,a1a81554-50d4-4fe0-bf0d-5304f215d19e,0.04,false,false,near_mint,en,USD
Moodmark Painter,GRN,Guilds of Ravnica,78,normal,common,1,405,82903e5f-c10f-4767-a2c0-6f8cc7280fa0,0.02,false,false,near_mint,en,USD
Blade Juggler,RNA,Ravnica Allegiance,63,normal,common,3,43801,099bc474-e656-4167-b105-3a3a36c0b23e,0.07,false,false,near_mint,en,USD
Carrion Imp,RNA,Ravnica Allegiance,66,normal,common,1,43798,958caf1d-b159-4c27-8248-00c345f880be,0.02,false,false,near_mint,en,USD
Spinal Centipede,GRN,Guilds of Ravnica,86,normal,common,1,397,74d579fb-615a-43a6-a1c1-c535087abf2a,0.06,false,false,near_mint,en,USD
Barrier of Bones,GRN,Guilds of Ravnica,61,normal,common,1,422,28129aaf-aaff-47f4-8dd2-8c576c55052c,0.07,false,false,near_mint,en,USD
Gravewaker,M19,Core Set 2019,293,normal,rare,1,1019,ee347d62-867e-40c2-bf4a-0ac2f627e24c,0.11,false,false,near_mint,en,USD
Consign to the Pit,RNA,Ravnica Allegiance,69,normal,common,1,43795,09991fad-4282-4a17-bfb1-03eaa13502df,0.03,false,false,near_mint,en,USD
Thirsting Shade,RNA,Ravnica Allegiance,87,normal,common,1,43777,a920c2e6-4a1f-487c-ad3f-b772443f0633,0.04,false,false,near_mint,en,USD
The Eldest Reborn,DOM,Dominaria,90,normal,uncommon,1,2186,c8318f40-ecd5-429e-8fe2-febf31f64841,0.32,false,false,near_mint,en,USD
Fungal Infection,DOM,Dominaria,94,normal,common,1,2182,a3f6baa5-666d-40b0-82e8-b0df10ff3cdd,0.08,false,false,near_mint,en,USD
Drudge Sentinel,DOM,Dominaria,89,normal,common,1,2187,9764a718-1748-4c2a-925c-370e22003b62,0.05,false,false,near_mint,en,USD
Blood Divination,M19,Core Set 2019,86,normal,uncommon,1,1226,6fe72bd9-825e-4451-9314-826882f75c85,0.07,false,false,near_mint,en,USD
Duress,M19,Core Set 2019,94,normal,common,1,1218,b433b9fc-69fc-4a57-a16b-f1afd3033b56,0.12,false,false,near_mint,en,USD
Burglar Rat,GRN,Guilds of Ravnica,64,normal,common,1,419,e9f7f218-fd2a-4233-8753-065ddc314f2d,0.06,false,false,near_mint,en,USD
Child of Night,GRN,Guilds of Ravnica,65,normal,common,1,418,afebf1a5-eb9a-48c6-a26a-55b75408992b,0.06,false,false,near_mint,en,USD
