"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Concordia Pegasus","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","7","False","False","0.05"
"1","1","Consign to the Pit","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","69","False","False","0.03"
"2","2","Contentious Plan","war","Near Mint","English","","","2025-07-15 00:03:05.683000","46","False","False","0.41"
"1","1","Court Hussar","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","5","False","False","0.32"
"1","1","Crackling Drake","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","163","False","False","0.11"
"1","1","Cry of the Carnarium","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","70","False","False","0.06"
"1","1","Dazzling Lights","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","34","False","False","0.03"
"1","1","Dead Revels","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","71","False","False","0.05"
"2","2","Dead Weight","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","67","False","False","0.04"
"2","2","Defiant Strike","war","Near Mint","English","","","2025-07-15 00:03:05.683000","9","False","False","0.02"
"2","2","Depose // Deploy","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","225","False","False","0.08"
"1","1","Depose // Deploy","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","225","False","False","0.08"
"1","1","Deputy of Detention","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","165","False","False","0.21"
"1","1","Detention Sphere","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","10","False","False","0.46"
"1","1","Dimir Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","246","False","False","0.10"
"2","2","Dimir Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","245","False","False","0.08"
"1","1","Dimir Locket","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","234","False","False","0.09"
"1","1","Dimir Spybug","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","166","False","False","0.04"
"1","1","Disdainful Stroke","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","37","False","False","0.11"
"2","2","District Guide","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","128","False","False","0.15"
"1","1","Divination","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","51","False","False","0.05"
"1","1","Divine Arrow","war","Near Mint","English","","","2025-07-15 00:03:05.683000","10","False","False","0.04"
"1","1","Dovescape","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","11","False","False","1.65"
"3","3","Dovin, Hand of Control","war","Near Mint","English","","","2025-07-15 00:03:05.683000","229","False","False","0.16"
"2","2","Dovin's Acuity","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","168","False","False","0.09"
"1","1","Dramatic Rescue","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","12","False","False","0.13"
"1","1","Drudge Sentinel","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","89","False","False","0.05"
"1","1","Duress","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","94","False","False","0.12"
"1","1","Dwarven Priest","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","11","False","False","0.06"
"1","1","Dwindle","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","53","False","False","0.03"
"2","2","Electrostatic Field","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","97","False","False","1.01"
"2","2","Emergence Zone","war","Near Mint","English","","","2025-07-15 00:03:05.683000","245","False","False","2.13"
"5","5","Enforcer Griffin","war","Near Mint","English","","","2025-07-15 00:03:05.683000","11","False","False","0.02"
"2","2","Erratic Visionary","war","Near Mint","English","","","2025-07-15 00:03:05.683000","48","False","False","0.03"
"1","1","Essence Capture","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","37","False","False","0.12"
"1","1","Eternal Skylord","war","Near Mint","English","","","2025-07-15 00:03:05.683000","49","False","False","0.11"
"1","1","Etrata, the Silencer","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","170","False","False","0.76"
"1","1","Eyes Everywhere","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","38","False","False","0.04"
"3","3","Faerie Duelist","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","39","False","False","0.05"
"1","1","Feral Maaka","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","100","False","False","0.03"
"1","1","Final Payment","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","171","False","False","0.05"
"2","2","Fire Urchin","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","101","False","False","0.02"
"2","2","Firemind Vessel","war","Near Mint","English","","","2025-07-15 00:03:05.683000","237","False","False","0.17"
"3","3","Flux Channeler","war","Near Mint","English","","","2025-07-15 00:03:05.683000","52","False","False","1.27"
"1","1","Footlight Fiend","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","216","False","False","0.04"
"5","5","Forest","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","278","False","False","0.09"
"5","5","Forest","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","279","False","False","0.07"
"5","5","Forest","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","280","False","False","0.09"
"5","5","Forest","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","277","False","False","0.10"
"1","1","Foul Orchard","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","251","False","False","0.08"
"2","2","Frilled Mystic","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","174","False","False","0.06"
"1","1","Frog Lizard","trna","Near Mint","English","","","2025-07-15 00:03:05.683000","6","False","False","0.22"
"1","1","Fungal Infection","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","94","False","False","0.08"
"1","1","Gargoyle Sentinel","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","236","False","False","0.05"
"2","2","Gate Colossus","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","232","False","False","0.06"
"2","2","Gateway Plaza","war","Near Mint","English","","","2025-07-15 00:03:05.683000","246","False","False","0.07"
"1","1","Get the Point","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","176","False","False","0.03"
"1","1","Ghor-Clan Wrecker","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","103","False","False","0.02"
"1","1","Gideon's Sacrifice","war","Near Mint","English","","","2025-07-15 00:03:05.683000","14","False","False","0.09"
"3","3","Gideon's Triumph","war","Near Mint","English","","","2025-07-15 00:03:05.683000","15","False","False","0.04"
"1","1","Glowspore Shaman","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","173","False","False","0.05"
"1","1","Goblin","tgrn","Near Mint","English","","","2025-07-15 00:03:05.683000","4","False","False","0.36"
"1","1","Goblin Banneret","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","102","False","False","0.06"
"1","1","Goblin Electromancer","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","174","False","False","0.11"
"5","5","Goblin Gathering","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","104","False","False","0.06"
"1","1","Goblin Instigator","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","142","False","False","0.18"
"1","1","God-Pharaoh's Statue","war","Near Mint","English","","","2025-07-15 00:03:05.683000","238","False","False","0.65"
"1","1","Golgari Findbroker","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","175","False","False","0.15"
"1","1","Golgari Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","248","False","False","0.07"
"1","1","Golgari Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","249","False","False","0.08"
"1","1","Golgari Locket","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","237","False","False","0.12"
"1","1","Golgari Raiders","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","130","False","False","0.05"
"4","4","Grateful Apparition","war","Near Mint","English","","","2025-07-15 00:03:05.683000","17","False","False","0.13"
"1","1","Gravewaker","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","293","False","False","0.11"
"1","1","Growth Spiral","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","178","False","False","0.21"
"1","1","Gruul Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","250","False","False","0.08"
"1","1","Gruul Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","249","False","False","0.10"
"1","1","Gruul Locket","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","234","False","False","0.07"
"1","1","Haazda Marshal","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","13","False","False","0.17"
"1","1","Hackrobat","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","181","False","False","0.04"
"1","1","Healer's Hawk","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","14","False","False","0.11"
"3","3","High Alert","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","182","False","False","0.33"
"1","1","House Guildmage","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","177","False","False","0.15"
"1","1","Hover Barrier","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","6","False","False","0.87"
"1","1","Ignite the Beacon","war","Near Mint","English","","","2025-07-15 00:03:05.683000","18","False","False","0.21"
"1","1","Impassioned Orator","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","12","False","False","0.11"
"1","1","Imperious Oligarch","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","184","False","False","0.04"
"3","3","Ironclad Krovod","war","Near Mint","English","","","2025-07-15 00:03:05.683000","19","False","False","0.02"
"1","1","Ironshell Beetle","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","134","False","False","0.03"
"5","5","Island","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","267","False","False","0.06"
"5","5","Island","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","265","False","False","0.06"
"5","5","Island","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","268","False","False","0.11"
"5","5","Island","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","266","False","False","0.13"
"1","1","Island","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","254","False","False","0.09"
"8","8","Island","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","27","False","False","0.51"
"1","1","Isperia the Inscrutable","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","13","False","False","0.26"
"1","1","Isperia, Supreme Judge","gk2","Near Mint","English","foil","","2025-07-15 00:03:05.683000","1","False","False","0.56"
"1","1","Izzet Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","252","False","False","0.06"
"1","1","Izzet Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","251","False","False","0.10"
"1","1","Izzet Locket","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","238","False","False","0.09"
"4","4","Jace's Triumph","war","Near Mint","English","","","2025-07-15 00:03:05.683000","55","False","False","0.07"
"1","1","Join Shields","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","181","False","False","0.10"
"2","2","Judge's Familiar","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","14","False","False","0.24"
"2","2","Justiciar's Portal","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","13","False","False","0.10"
"3","3","Kasmina, Enigmatic Mentor","war","Near Mint","English","","","2025-07-15 00:03:05.683000","56","False","False","0.24"
"3","3","Kasmina's Transmutation","war","Near Mint","English","","","2025-07-15 00:03:05.683000","57","False","False","0.03"
"2","2","Kaya, Bane of the Dead","war","Near Mint","English","","","2025-07-15 00:03:05.683000","231","False","False","0.08"
"1","1","Keldon Raider","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","135","False","False","0.02"
"1","1","Kiora, Behemoth Beckoner","war","Near Mint","English","","","2025-07-15 00:03:05.683000","232","False","False","0.87"
"2","2","Kiora's Dambreaker","war","Near Mint","English","","","2025-07-15 00:03:05.683000","58","False","False","0.06"
"1","1","Knight of New Benalia","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","24","False","False","0.03"
"1","1","Knightly Valor","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","20","False","False","0.06"
"1","1","Lathliss, Dragon Queen","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","149","False","False","0.91"
"1","1","Lava Coil","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","108","False","False","0.17"
"1","1","Lavinia of the Tenth","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","15","False","False","0.36"
"4","4","Lawmage's Binding","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","190","False","False","0.03"
"3","3","Law-Rune Enforcer","war","Near Mint","English","","","2025-07-15 00:03:05.683000","20","False","False","0.04"
"1","1","Lazotep Plating","war","Near Mint","English","","","2025-07-15 00:03:05.683000","59","False","False","0.46"
"1","1","Leapfrog","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","42","False","False","0.04"
"1","1","Ledev Guardian","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","18","False","False","0.03"
"1","1","Light Up the Stage","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","107","False","False","0.16"
"3","3","Loxodon Sergeant","war","Near Mint","English","","","2025-07-15 00:03:05.683000","21","False","False","0.01"
"1","1","Luminous Bonds","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","21","False","False","0.03"
"1","1","Lyev Skyknight","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","16","False","False","0.15"
"1","1","Makeshift Battalion","war","Near Mint","English","","","2025-07-15 00:03:05.683000","22","False","False","0.02"
"1","1","Mammoth Spider","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","132","False","False","0.04"
"3","3","Mammoth Spider","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","132","False","False","0.04"
"3","3","Mana Geode","war","Near Mint","English","","","2025-07-15 00:03:05.683000","241","False","False","0.16"
"1","1","Marauder's Axe","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","240","False","False","0.03"
"6","6","Martyr for the Cause","war","Near Mint","English","","","2025-07-15 00:03:05.683000","23","False","False","0.09"
"1","1","Maximize Velocity","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","111","False","False","0.03"
"1","1","Mesmerizing Benthid","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","43","False","False","0.63"
"1","1","Ministrant of Obligation","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","16","False","False","0.07"
"1","1","Moodmark Painter","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","78","False","False","0.02"
"1","1","Mortify","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","192","False","False","0.18"
"5","5","Mountain","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","276","False","False","0.08"
"5","5","Mountain","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","273","False","False","0.08"
"5","5","Mountain","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","275","False","False","0.09"
"5","5","Mountain","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","274","False","False","0.07"
"1","1","Murmuring Mystic","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","45","False","False","0.34"
"2","2","Naga Eternal","war","Near Mint","English","","","2025-07-15 00:03:05.683000","60","False","False","0.06"
"1","1","Narset, Parter of Veils","war","Near Mint","English","","","2025-07-15 00:03:05.683000","61","False","False","0.58"
"4","4","No Escape","war","Near Mint","English","","","2025-07-15 00:03:05.683000","63","False","False","0.03"
"1","1","Noxious Groodion","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","78","False","False","0.02"
"1","1","Open the Gates","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","133","False","False","0.19"
"1","1","Orzhov Enforcer","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","79","False","False","0.06"
"1","1","Orzhov Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","253","False","False","0.10"
"1","1","Orzhov Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","253","False","False","0.10"
"1","1","Orzhov Locket","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","236","False","False","0.08"
"1","1","Orzhov Racketeers","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","80","False","False","0.06"
"1","1","Pegasus Courser","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","29","False","False","0.06"
"1","1","Persistent Petitioners","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","44","False","False","0.78"
"1","1","Pitiless Pontiff","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","194","False","False","0.11"
"5","5","Plains","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","263","False","False","0.10"
"5","5","Plains","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","261","False","False","0.07"
"5","5","Plains","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","264","False","False","0.07"
"5","5","Plains","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","262","False","False","0.06"
"8","8","Plains","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","26","False","False","0.44"
"1","1","Plummet","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","193","False","False","0.15"
"2","2","Prey Upon","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","143","False","False","0.05"
"1","1","Price of Fame","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","83","False","False","0.12"
"1","1","Pride of the Clouds","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","17","False","False","1.37"
"3","3","Prismite","war","Near Mint","English","","","2025-07-15 00:03:05.683000","242","False","False","0.03"
"4","4","Prison Realm","war","Near Mint","English","","","2025-07-15 00:03:05.683000","26","False","False","0.05"
"2","2","Prowling Caracal","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","17","False","False","0.05"
"3","3","Prying Eyes","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","46","False","False","0.02"
"1","1","Pteramander","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","47","False","False","0.08"
"3","3","Quench","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","48","False","False","0.04"
"1","1","Rakdos Firewheeler","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","197","False","False","0.06"
"1","1","Rakdos Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","255","False","False","0.08"
"2","2","Rakdos Guildgate","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","256","False","False","0.08"
"2","2","Rakdos Locket","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","237","False","False","0.14"
"1","1","Rally of Wings","war","Near Mint","English","","","2025-07-15 00:03:05.683000","27","False","False","0.16"
"1","1","Rally to Battle","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","18","False","False","0.05"
"1","1","Rampaging Rendhorn","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","135","False","False","0.05"
"2","2","Relentless Advance","war","Near Mint","English","","","2025-07-15 00:03:05.683000","64","False","False","0.04"
"1","1","Render Silent","gk2","Near Mint","English","","","2025-07-15 00:03:05.683000","18","False","False","2.12"
"1","1","Rescue","dom","Near Mint","English","","","2025-07-15 00:03:05.683000","63","False","False","0.05"
"3","3","Rescuer Sphinx","war","Near Mint","English","","","2025-07-15 00:03:05.683000","65","False","False","0.03"
"1","1","Resolute Watchdog","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","19","False","False","0.20"
"1","1","Rhizome Lurcher","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","196","False","False","0.06"
"1","1","Riddlemaster Sphinx","m19","Near Mint","English","","","2025-07-15 00:03:05.683000","287","False","False","0.10"
"8","8","Rising Populace","war","Near Mint","English","","","2025-07-15 00:03:05.683000","29","False","False","0.03"
"1","1","Rix Maadi Reveler","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","109","False","False","0.10"
"1","1","Rosemane Centaur","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","197","False","False","0.03"
"1","1","Rubblebelt Recluse","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","111","False","False","0.03"
"2","2","Sage's Row Savant","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","49","False","False","0.02"
"2","2","Saheeli's Silverwing","war","Near Mint","English","","","2025-07-15 00:03:05.683000","243","False","False","0.02"
"1","1","Saproling","tdom","Near Mint","English","","","2025-07-15 00:03:05.683000","12","False","False","0.11"
"1","1","Saruli Caretaker","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","139","False","False","0.10"
"1","1","Savage Smash","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","203","False","False","0.02"
"1","1","Scrabbling Claws","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","238","False","False","0.10"
"1","1","Screaming Shield","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","239","False","False","0.08"
"1","1","Selesnya Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","255","False","False","0.06"
"1","1","Selesnya Guildgate","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","256","False","False","0.07"
"1","1","Selesnya Locket","grn","Near Mint","English","","","2025-07-15 00:03:05.683000","240","False","False","0.07"
"2","2","Senate Courier","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","50","False","False","0.04"
"4","4","Senate Griffin","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","219","False","False","0.04"
"3","3","Senate Guildmage","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","204","False","False","0.08"
"2","2","Sentinel's Mark","rna","Near Mint","English","","","2025-07-15 00:03:05.683000","20","False","False","0.08"
